asof,recorded_utc,order_id,perm_id,sleeve,instrument,action,qty
2026-09-08 00:00:00,2026-09-08T13:35:18.035513+00:00,3,0,null_trader,HYG,SELL,442.0
2026-09-08 00:00:00,2026-09-08T13:35:18.037448+00:00,4,0,null_trader,JNK,SELL,961.0
2026-09-08 00:00:00,2026-09-08T13:35:18.037798+00:00,5,0,null_trader,USHY,BUY,2098.0
2026-09-08 00:00:00,2026-09-08T13:35:18.038084+00:00,6,0,null_trader,SPHY,SELL,67.0
2026-09-08 00:00:00,2026-09-08T13:35:18.038363+00:00,7,0,null_trader,SHYG,SELL,537.0
2026-09-08 00:00:00,2026-09-08T13:35:18.038618+00:00,8,0,null_trader,SJNK,BUY,922.0
2026-09-08 00:00:00,2026-09-08T13:35:18.038863+00:00,9,0,null_trader,LQD,SELL,862.0
2026-09-08 00:00:00,2026-09-08T13:35:18.039109+00:00,10,0,null_trader,VCSH,BUY,314.0
2026-09-08 00:00:00,2026-09-08T13:35:18.039348+00:00,11,0,null_trader,VCIT,BUY,99.0
2026-09-08 00:00:00,2026-09-08T13:35:18.039586+00:00,12,0,null_trader,IGSB,SELL,693.0
2026-09-08 00:00:00,2026-09-08T13:35:18.039830+00:00,13,0,null_trader,BKLN,SELL,4901.0
2026-09-08 00:00:00,2026-09-08T13:35:18.040086+00:00,14,0,null_trader,SRLN,BUY,4444.0
2026-09-08 00:00:00,2026-09-08T13:35:18.040328+00:00,15,0,null_trader,EMB,BUY,164.0
2026-09-08 00:00:00,2026-09-08T13:35:18.040563+00:00,16,0,null_trader,JAAA,BUY,1005.0
2026-09-10 00:00:00,2026-09-10T13:43:09.168008+00:00,19,0,null_trader,HYG,BUY,607.0
2026-09-10 00:00:00,2026-09-10T13:43:09.169731+00:00,20,0,null_trader,JNK,BUY,421.0
2026-09-10 00:00:00,2026-09-10T13:43:09.170048+00:00,21,0,null_trader,USHY,SELL,3438.0
2026-09-10 00:00:00,2026-09-10T13:43:09.170306+00:00,22,0,null_trader,SPHY,SELL,809.0
2026-09-10 00:00:00,2026-09-10T13:43:09.170555+00:00,23,0,null_trader,SHYG,BUY,1128.0
2026-09-10 00:00:00,2026-09-10T13:43:09.170787+00:00,24,0,null_trader,SJNK,SELL,1874.0
2026-09-10 00:00:00,2026-09-10T13:43:09.171008+00:00,25,0,null_trader,LQD,BUY,863.0
2026-09-10 00:00:00,2026-09-10T13:43:09.171228+00:00,26,0,null_trader,VCSH,SELL,598.0
2026-09-10 00:00:00,2026-09-10T13:43:09.171441+00:00,27,0,null_trader,VCIT,BUY,1524.0
2026-09-10 00:00:00,2026-09-10T13:43:09.171657+00:00,28,0,null_trader,IGSB,BUY,1137.0
2026-09-10 00:00:00,2026-09-10T13:43:09.171869+00:00,29,0,null_trader,BKLN,BUY,2904.0
2026-09-10 00:00:00,2026-09-10T13:43:09.172093+00:00,30,0,null_trader,SRLN,SELL,3918.0
2026-09-10 00:00:00,2026-09-10T13:43:09.172306+00:00,31,0,null_trader,EMB,BUY,61.0
2026-09-10 00:00:00,2026-09-10T13:43:09.172517+00:00,32,0,null_trader,JAAA,SELL,1502.0
