fill_date,decision_date,ticker,side,shares,decision_price,close_price,fill_price,half_spread_bp,impact_bp,slip_vs_decision_bp,participation_pct,over_participation_cap,notional_usd,cost_usd,reason
2026-07-31,2026-07-30,NVG,SELL,6337.0,12.449999809265137,12.399999618530272,12.381056556243962,9.93,5.346663604087694,55.376107692682865,1.1604973088988553,False,-78458.75539691799,120.04218570835518,funding
2026-07-31,2026-07-30,NAD,SELL,6226.0,11.699999809265137,11.710000038146973,11.69345001064176,10.5,3.633242913150384,5.598118572780475,0.9795746260907326,False,-72803.4197662556,103.04047124745512,funding
2026-07-31,2026-07-30,NEA,SELL,5284.0,11.260000228881836,11.270000457763672,11.253357037762951,10.85,3.9178964726700536,5.89981437286724,0.7071157199425635,False,-59462.73858753943,87.9438312838077,funding
2026-07-31,2026-07-30,MHD,SELL,4822.0,11.539999961853027,11.470000267028809,11.448597939392736,10.67,7.989395935319733,79.20452579066817,1.4983717403733812,False,-55205.13926375178,103.20202386113584,funding
2026-07-31,2026-07-30,NZF,SELL,3763.0,12.289999961853027,12.199999809265137,12.18245285348714,9.96,4.422750862561832,87.50781830732524,0.8397079431953084,False,-45842.57008767211,66.02919459260116,funding
2026-07-31,2026-07-30,JFR,SELL,3248.0,7.670000076293945,7.710000038146973,7.695353271490244,16.09,2.907103222127127,-33.05501296493985,0.4759825199522844,False,-24994.507425800315,47.57269810105339,funding
2026-07-31,2026-07-30,MQY,SELL,2977.0,11.25,11.199999809265137,11.183544968529628,10.92,3.771822335476888,59.071139084775346,0.7575969645224747,False,-33293.4133713127,48.986060869610824,funding
2026-07-31,2026-07-30,PFN,SELL,602.0,7.059999942779541,7.079999923706055,7.066658851910494,16.97,1.8733219481977164,-9.431882698189842,0.2117094305649336,False,-4254.128628850117,8.031325220927782,funding
2026-07-31,2026-07-30,PDO,BUY,642.0,13.130000114440918,13.039999961853027,13.05528371086382,9.08,2.6406664536069915,-56.905105046359814,0.1607926426095493,False,8381.492142374573,9.812166864929171,funding
2026-07-31,2026-07-30,BIT,BUY,3320.0,12.199999809265137,12.229999542236328,12.246922589362478,9.52,4.317324415023265,38.46129576305923,1.1408621068836595,False,40659.782996683425,56.18451645881912,funding
