fill_date,instrument,real_qty,real_vwap,fill_price,close_price,shares,side,half_spread_bp,realised_bp,modelled_bp,excess_bp
2026-07-31,BKLN,796.0,20.4,20.4,20.385000228881836,796.0,BUY,,7.358239367057104,7.358239367057104,0.0
2026-07-31,EMB,360.0,94.68,94.68,94.86000061035156,360.0,BUY,,-18.975396288571517,-18.975396288571517,0.0
2026-07-31,HYG,541.0,79.45,79.45,79.16500091552734,541.0,BUY,,36.00064184635911,36.00064184635911,0.0
2026-07-31,IGSB,763.0,52.12,52.12,52.087501525878906,763.0,BUY,,6.239207711843273,6.239207711843273,0.0
2026-07-31,JAAA,-1005.0,50.489999999999995,50.489999999999995,50.654998779296875,1005.0,SELL,,32.57304970350064,32.57304970350064,0.0
2026-07-31,JNK,961.0,95.64999999999999,95.65,95.31990051269533,961.0,BUY,,34.630699940848125,34.63069994084962,-1.4921397450962104e-12
2026-07-31,LQD,-42.0,106.02000000000001,106.02,106.5199966430664,42.0,SELL,,46.93922820349073,46.93922820349206,-1.3287149158713873e-12
2026-07-31,SHYG,358.0,42.14,42.14,42.005001068115234,358.0,BUY,,32.138775967616844,32.138775967616844,0.0
2026-07-31,SJNK,-2578.0,24.84,24.84,24.774999618530273,2578.0,SELL,,-26.236279503758247,-26.236279503758247,0.0
2026-07-31,SPHY,1072.0,23.26,23.26,23.170000076293945,1072.0,BUY,,38.84329883888882,38.84329883888882,0.0
2026-07-31,SRLN,-2484.0,40.4,40.4,40.369998931884766,2484.0,SELL,,-7.431525615309766,-7.431525615309766,0.0
2026-07-31,VCIT,-1230.0,81.14,81.14,81.31500244140625,1230.0,SELL,,21.521544137239893,21.521544137239893,0.0
2026-07-31,VCSH,696.0,78.59,78.59,78.5250015258789,696.0,BUY,,8.277424114366442,8.277424114366442,0.0
2026-09-10,BKLN,2904.0,20.6,20.58413875505179,20.575000762939453,2905.0,BUY,2.406,12.15029702724384,4.4413082738718375,7.708988753372002
2026-09-10,IGSB,1137.0,51.709999999999994,51.68103730396427,51.665000915527344,1135.0,BUY,0.987,8.709781026854879,3.1039171881837078,5.605863838671171
2026-09-10,SHYG,1128.0,42.02,41.85100085175728,41.834999084472656,1126.0,BUY,1.179,44.221565573312326,3.824971348107438,40.396594225204886
2026-09-10,SJNK,-1874.0,24.625117395944503,24.610915853935367,24.625,1869.0,SELL,2.006,-0.04767348000135189,5.719450178531094,-5.767123658532446
2026-09-10,SPHY,-809.0,23.049999999999997,23.020109880014612,23.03019905090332,810.0,SELL,3.115,-8.597819347071683,4.380843980726506,-12.978663327798188
2026-09-10,SRLN,-3918.0,40.489999999999995,40.49682843763729,40.51499938964844,3920.0,SELL,1.249,6.170403560423092,4.484993776351751,1.6854097840713411
2026-09-10,USHY,-3438.0,36.38999999999999,36.39940863106373,36.41120147705078,3434.0,SELL,1.36,5.822789743466893,3.2387961694934573,2.5839935739734354
2026-09-10,VCIT,1524.0,79.95,79.95715376626377,79.94000244140625,1522.0,BUY,0.615,1.2506327606232897,2.145524685227998,-0.8948919246047082
2026-09-10,VCSH,-598.0,77.89999999999999,77.90702478196519,77.9198989868164,599.0,SELL,0.653,2.553774719315482,1.6522358240471273,0.9015388952683547
